nazwa_oryginalna,etykieta_docelowa (z makra),standard_key,ryzyko,sekcja (uzupelnij),znak (uzupelnij)
Razem koszty działalności operacyjnej,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Techniczny koszt wytworzenia produkcji sprzedanej sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
"Techniczny koszt wytworzenia produkcji sprzedanej, w tym:",Techniczny koszt wytworzenia produkcji sprzedanej,cost_of_sales,,,
Aktywa obrotowe (krótkoterminowe),Aktywa obrotowe,current_assets,,,
Aktywa obrotowe (krótkoterminowe) ogółem,Aktywa obrotowe,current_assets,,,
AKTYWA OBROTOWE KRÓTKOTERMINOWE,Aktywa obrotowe,current_assets,,,
Aktywa obrotowe ogółem,Aktywa obrotowe,current_assets,,,
"Aktywa obrotowe, w tym:",Aktywa obrotowe,current_assets,,,
Aktywa ogółem obrotowe,Aktywa obrotowe,current_assets,,,
Aktywa ogółem obrotowe razem,Aktywa obrotowe,current_assets,,,
Aktywa razem obrotowe,Aktywa obrotowe,current_assets,,,
II AKTYWA OBROTOWE,Aktywa obrotowe,current_assets,,,
"II,Aktywaobrotowe",Aktywa obrotowe,current_assets,nazwa generyczna - moze pasowac do wielu pozycji,,
Razem aktywa obrotowe,Aktywa obrotowe,current_assets,,,
"[P] B,III Zobowiązania krótkoterminowe",Zobowiązania krótkoterminowe,current_liabilities,,,
B ZOBOWIĄZANIA KRÓTKOTERMINOWE,Zobowiązania krótkoterminowe,current_liabilities,,,
"B,III +Zobowiązania krótkoterminowe",Zobowiązania krótkoterminowe,current_liabilities,,,
"D,III +Zobowiązania krótkoterminowe",Zobowiązania krótkoterminowe,current_liabilities,,,
"D,III Zobowiązania krótkoterminowe",Zobowiązania krótkoterminowe,current_liabilities,,,
E Zobowiązania krótkoterminowe,Zobowiązania krótkoterminowe,current_liabilities,,,
"III,Zobowiązaniakrótkoterminowe",Zobowiązania krótkoterminowe,current_liabilities,nazwa generyczna - moze pasowac do wielu pozycji,,
Krótkoterminowe zobowiązania,Zobowiązania krótkoterminowe,current_liabilities,nazwa generyczna - moze pasowac do wielu pozycji,,
